Qualidade dos Dados:;Aprovado  ;Suspeito  ;Reprovado  ;Fora do Limite  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
;Régua Seca  ;Régua Coberta  ;Rio Seco  ;Rio Cortado  ;;;;;;;;;;;;;;;;;;;
Temperatura Interna / Status da Bateria:;;  Normal  ;  Atenção  ;  Crítico  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
Estação: 5 - 86720000 - ENCANTADO;;;;;;;;;;;;;;;;;;;;;;;
Data/Hora;Chuva Horária (mm);Nível adotado (cm);Vazão (m³/s);Bateria (V);Temp. Interna (ºC);;;;;;;;;;;;;;;;;;
17/06/2024 23:45;0.40;1443.00;8609.89;12.70;18.90;;;;;;;;;;;;;;;;;;
17/06/2024 23:30;0.40;1447.00;8648.39;12.70;18.90;;;;;;;;;;;;;;;;;;
17/06/2024 23:15;0.20;1459.00;8764.33;12.90;19.30;;;;;;;;;;;;;;;;;;
17/06/2024 23:00;0.00;1464.00;8812.84;12.90;19.30;;;;;;;;;;;;;;;;;;
17/06/2024 22:45;0.00;1470.00;8871.21;12.90;19.30;;;;;;;;;;;;;;;;;;
17/06/2024 22:30;0.00;1479.00;8959.07;12.90;19.30;;;;;;;;;;;;;;;;;;
17/06/2024 22:15;0.00;1486.00;9027.66;12.90;18.80;;;;;;;;;;;;;;;;;;
17/06/2024 22:00;0.00;1491.00;9076.80;12.90;18.80;;;;;;;;;;;;;;;;;;
17/06/2024 21:45;0.00;1498.00;9145.78;12.90;18.80;;;;;;;;;;;;;;;;;;
17/06/2024 21:30;0.00;1504.00;9205.09;12.90;18.80;;;;;;;;;;;;;;;;;;
17/06/2024 21:15;0.00;1513.00;9294.37;13.00;18.80;;;;;;;;;;;;;;;;;;
